时间,飞艇经度,飞艇纬度,飞艇高度,飞艇航向角,飞艇翻滚角,飞艇俯仰角,相机经度,相机纬度,短波视场角高（角度）,短波视场角宽（角度）,短波视场坐标
date0405_10h10m51s,110.9074734,19.4531586,18981,174.07,-5.98,0.14,110.9060448,19.47098732,17.44,21.8,"[array([110.8699049 ,  19.49423264]), array([110.93667487,  19.50119383]), array([110.94107369,  19.44842926]), array([110.87641028,  19.44173697])]"
date0405_10h11m01s,110.9075838,19.4532213,18982,174.19,-5.88,-0.08,110.905568,19.47068759,17.44,21.8,"[array([110.86945411,  19.49401098]), array([110.93621537,  19.50078936]), array([110.94053841,  19.44807562]), array([110.87585632,  19.44148019])]"
date0405_10h11m11s,110.9076756,19.4532731,18982,173.92,-5.98,0.03,110.905873,19.47106405,17.44,21.8,"[array([110.86965153,  19.49422401]), array([110.9364083 ,  19.50134022]), array([110.94095471,  19.4486054 ]), array([110.87630802,  19.44172468])]"
date0405_10h11m21s,110.9077619,19.4533246,18982,174.42,-6,-0.02,110.9059597,19.47117602,17.44,21.8,"[array([110.86992984,  19.49465803]), array([110.93675317,  19.50118288]), array([110.94084029,  19.44841545]), array([110.87613794,  19.44209067])]"
date0405_10h11m31s,110.9078369,19.4533758,18982,174.61,-6.02,-0.1,110.9058498,19.47127057,17.44,21.8,"[array([110.86988077,  19.49488117]), array([110.9367331 ,  19.50117035]), array([110.94064894,  19.44840023]), array([110.87592814,  19.44227641])]"
date0405_10h11m41s,110.9079118,19.4534287,18982,174.52,-6.03,-0.14,110.9057746,19.47133887,17.44,21.8,"[array([110.86975974,  19.49489757]), array([110.93660609,  19.50128475]), array([110.94060669,  19.44852608]), array([110.87589659,  19.44229379])]"
date0405_10h11m51s,110.9079829,19.45348,18982,174.6,-5.66,0.01,110.9064223,19.47032642,17.44,21.8,"[array([110.87052851,  19.49386747]), array([110.93726861,  19.50017811]), array([110.94124235,  19.4474636 ]), array([110.87650058,  19.44134543])]"
date0405_10h12m01s,110.9080481,19.4535328,18983,174.76,-5.78,-0.1,110.9061738,19.47071395,17.44,21.8,"[array([110.87030534,  19.49438296]), array([110.93710439,  19.50049076]), array([110.94092075,  19.44775838]), array([110.87616738,  19.44180248])]"
date0405_10h12m11s,110.9081103,19.4535864,18984,174.77,-5.83,0.07,110.9067316,19.4709651,17.44,21.8,"[array([110.87088619,  19.49463616]), array([110.93770198,  19.50076504]), array([110.94148702,  19.44798722]), array([110.8767295 ,  19.44207174])]"
date0405_10h12m21s,110.9081602,19.4536419,18984,175.34,-6,-0.09,110.9064356,19.47150483,17.44,21.8,"[array([110.87077185,  19.49557035]), array([110.9376996 ,  19.50100918]), array([110.9409455,  19.4481903]), array([110.87614394,  19.44289264])]"
date0405_10h12m31s,110.9081965,19.4536963,18985,175.31,-5.99,0.15,110.9071808,19.47158803,17.44,21.8,"[array([110.87154533,  19.49561582]), array([110.93846738,  19.5011337 ]), array([110.94172146,  19.44827115]), array([110.87691506,  19.4429804 ])]"
date0405_10h12m41s,110.9082289,19.4537535,18984,175.16,-6.07,0.03,110.9067883,19.47185141,17.44,21.8,"[array([110.87105805,  19.49580642]), array([110.9379879 ,  19.50147927]), array([110.94137764,  19.44863356]), array([110.87659515,  19.44315326])]"
date0405_10h12m51s,110.9082641,19.4538124,18984,174.83,-5.82,0.07,110.9069063,19.47116255,17.44,21.8,"[array([110.87108736,  19.4948696 ]), array([110.93790651,  19.50092824]), array([110.94163791,  19.44814856]), array([110.87687367,  19.44230085])]"
date0405_10h13m01s,110.9083009,19.4538752,18983,174.73,-5.67,-0.09,110.9064778,19.47072847,17.44,21.8,"[array([110.870617  ,  19.49436133]), array([110.93737961,  19.5005029 ]), array([110.94124043,  19.44779323]), array([110.87648356,  19.44180454])]"
date0405_10h13m11s,110.9083472,19.4539404,18983,174.55,-5.92,0.13,110.907055,19.47159961,17.44,21.8,"[array([110.87111588,  19.49514085]), array([110.93793066,  19.50153951]), array([110.94189838,  19.44874909]), array([110.8771713 ,  19.44259608])]"
date0405_10h13m21s,110.9083908,19.4540065,18982,174.43,-5.69,0.07,110.9069501,19.47095549,17.44,21.8,"[array([110.87099177,  19.49438989]), array([110.93772086,  19.50091034]), array([110.94184132,  19.4481905 ]), array([110.87711869,  19.44189072])]"
date0405_10h13m31s,110.9084458,19.4540713,18981,173.91,-5.36,-0.01,110.9067189,19.46999344,17.44,21.8,"[array([110.87059198,  19.49305737]), array([110.93715968,  19.50015782]), array([110.94181714,  19.44756155]), array([110.87713853,  19.44065908])]"
